"Ozone","Solar.R","Wind","Temp","Month","Day"
96,167,6.9,91,9,1
78,197,5.1,92,9,2
73,183,2.8,93,9,3
91,189,4.6,93,9,4
47,95,7.4,87,9,5
32,92,15.5,84,9,6
20,252,10.9,80,9,7
23,220,10.3,78,9,8
21,230,10.9,75,9,9
24,259,9.7,73,9,10
44,236,14.9,81,9,11
21,259,15.5,76,9,12
28,238,6.3,77,9,13
9,24,10.9,71,9,14
13,112,11.5,71,9,15
46,237,6.9,78,9,16
18,224,13.8,67,9,17
13,27,10.3,76,9,18
24,238,10.3,68,9,19
16,201,8,82,9,20
13,238,12.6,64,9,21
23,14,9.2,71,9,22
36,139,10.3,81,9,23
7,49,10.3,69,9,24
14,20,16.6,63,9,25
30,193,6.9,70,9,26
NA,145,13.2,77,9,27
14,191,14.3,75,9,28
18,131,8,76,9,29
20,223,11.5,68,9,30
