"Ozone","Solar.R","Wind","Temp","Month","Day"
135,269,4.1,84,7,1
49,248,9.2,85,7,2
32,236,9.2,81,7,3
NA,101,10.9,84,7,4
64,175,4.6,83,7,5
40,314,10.9,83,7,6
77,276,5.1,88,7,7
97,267,6.3,92,7,8
97,272,5.7,92,7,9
85,175,7.4,89,7,10
NA,139,8.6,82,7,11
10,264,14.3,73,7,12
27,175,14.9,81,7,13
NA,291,14.9,91,7,14
7,48,14.3,80,7,15
48,260,6.9,81,7,16
35,274,10.3,82,7,17
61,285,6.3,84,7,18
79,187,5.1,87,7,19
63,220,11.5,85,7,20
16,7,6.9,74,7,21
NA,258,9.7,81,7,22
NA,295,11.5,82,7,23
80,294,8.6,86,7,24
108,223,8,85,7,25
20,81,8.6,82,7,26
52,82,12,86,7,27
82,213,7.4,88,7,28
50,275,7.4,86,7,29
64,253,7.4,83,7,30
59,254,9.2,81,7,31
